irc.servercentral.net Tue Dec 26 23:43:09 2006
#uX 1
#onlyz 1
#xgen 1 Na escurid„o das trevas, onde a luz n„o ousa chegar, existe um lugar onde a vida apenas sobrevive. Muitos chamam esse lugar de inferno, outros de fim do mundo. 
#.br.efnet 1
#T6Flyer 1
#sleneset 1
#blackpanthers 2
#cyberisland 1
#blubba 2
#HDC22111986 1
#ellas 1
#primetime 1
#pin_gang 1
#jenniferlopez 1
#imv-dcc 1
#fow 1
#freedoom 1
#1PMS2k2 1
#1vod 1
#jamaican 1
#esexxx 1
#piratebits 1
#baxter 1
#ftp.no 2
#snuggled 1
#dedi 1
#DedicatedServer 1
#warezdream 2
#MOBILE-MAGIC 1
#dimcom 1
#luvshac.+chan 1
#Selsbakk 1
#Leeds 1
#Hitra 1
#ayax2 1
#SYSTEM-ONLINE 1
#projectr 1
#co-admin 1
#consoloholic 1
#melvin 1
#ScourgeL2 1 Welcome to Scourge's Idle Central. Our TS server is scourge.selfip.org.  Please leave a message after the beep
#FREDDY 1
#CMP3 1
#stydgorodok 1
#inside 1
#lighthouse 2
#beyonce 1 8,13 Merry X-mas baby!!! }{ }{ }{ }{ }{ }{
#corbomite 1
#wtf-script 1
#mp3pres 1
#wtfextra 1
#intellivision 1
#matematik.se 1
#tmp1 1
#Lunet 1
#WESTINDIES_VIBEZ 2
#DarkSeven 1
#Abilita-Gaming 1
#ktm 1
#serial¥z 1
#_AMG_ 1
#rch 1
#turboburk 1
#ronaldo-roms 1
#nes+snes-roms 1
#buze 2
#aldrin 1
#helgo 1
#musika 1
#cincwest 1
#oscsgchat 1
#bitumi+ 1
#Volvo40Forum 1
#iam 1
#mattman 1
#ldstats:ormbett@efnet 1
#b99ftp 1
#ChipOrDie 1
#3some 1 one..two..three
#haperz 1
#Nyheter.no 2
#rq 1
#HoneyStaff 1
#weirdo 1
#terrorist 2
#xplore.crew 1
#1010011010 1
#X-DCC 2
#*_!_* 1
#lag 2
#h¯glimyra 1
#teamupload 1
#warezfx 1
#warezfx-HQ 1
#fags 1
#Murdasquadcartel 2
#Phydoux 1
#Photographers 1
#dedipache 1
#nisha 1
#Peugeot 1
#PSC.no 1
#sveg 1
#0DAYXDCC 1
#por 2
#CreativeZen 1 Discuss Creative Zen stuff...
#ladodgers 1
#lad 1
#dodgers 1
#enebakk 1
#dynastic 1
#multibitch 1
#LBG 1
#1337H4X0R(1) 1
#coloradofusion 1
#topkills 1
#AutoFreak 1
#aLin@ 1
#alinafiq 1
#linux-power 1
#Cast|eGreySku|| 1
#phedz 1
#green 1
#downthehill 1
#iliketomoveit 1
#vijomi 1
#katz 3
#silverbullets 1
#badreligion 1
#m2veracruz 4
#nobyte 2
#Republicans 2
#kerry2004 1
#Kerry04 1
#Democrats 2
#democrat 2
#DEA 1
#bush2004 1
#bush04 1
#FlexNet 1
#hk60 1
#oo7 1
#rswhq 1
#fastforward 1
#freakazoidyo 1
#iParty 8
#trivia.vxu.se 1
#kenya# 1
#testes 2
#quizz 1
#midphase 1
#sportbikes 1
#lilliklubi 1
#picklejuice 1
#duel 1
#eQ.pvt 1
#star69 1
#q31v1 1
#unchained 1
#uncpriv 1
#e.quality 1
#ctfpickup 1
#ggl 1
#velvetcouch 1
#vac 2
#velvetacidchrist 1
#mb-recruit 1
#365 1
###### 1
#dnbspain 2
#nestea 1
#clan_sd 1
#h3h3 1
#wanggang 1
#slamdancing 1
#global_loners 1
#FailedTeam 2
#bimma 1
#thebeatbox 1
#jakt 1
#BE-VIP 1
#putadelmocoso 2
#MP3-FR 1
#WinBot 1 Official Winbot channel | WinBot No Longer Being Developed | ChainSaw - Best IRC Bot: http://www.softpedia.com/get/Internet/Chat/IRC-Clients/Chainsaw.shtml
#Trillian-Support 1 Official WinBot Scripterz Channel - http://www.soloflock.com/scripterz.html - WinBot Script Help/Support
#Trillian-Chat 1 Official WinBot Scripterz Channel - http://www.soloflock.com/scripterz.html - WinBot Script Help/Support
#Mensa! 1 Yet another Mensa channel! This one's for fun and good convo only. Everyone welcome! Help build the population.
#forgotten 1
#forgotten.team 2
#nwosweden 2
#kk 1
#deathmate 2
#lbftpd 1
#theranch 2
#zaft 1
#NSE-SE 1
#w0kie 1
#flying 1
#christian_metal 1
#deception.after-all.org 1
#tbcontrol 1
#˘ 1
#SkRadio 1
#ilogic 1
#gibraltar 1
#thumsup 1
#Darkfiber 1
#IRFclan 1
#www.finance-website.info 1
#nintendrome 1
#bottesting 1
#RAPTEUX 1
#dont.whois.me.you.fuck 1
#iso-classics 1
#xuxa 1
#psp-isos 1
#yang 1
#testingag 1
#gaylocalboys 1
#mercedes_mila_hija_de_la_gran_puta 1
#ukg 1
#nzbz 1
#glasspane 1
#pic 1
#encryption 1
#botpacks 1
#F-S2 1
#element360 2
#quadex 2
#sudburyboys 1
#zeifoorpre 1
#theasylum 1
#half-life 1
#hissig 1
#prey 1
#XL 1
#gngstr 1
#bishnet 1
#saga1 2
#te.iubesc.roxana 1
#sharosmafhouse 1
#Girks 1
#cap-de-la-madeleine 1
#cial 1
#AmIRC 1
#PSPUpdates 1
#CORE-XDCC 1
#pensimightier 1
#nhlpa 3
#brokentower 2
#prisoner 1
#outcast3k 1
#MgM-iNC 2
#theosophy 1
#onetreehill.no-chat 1
#onetreehill.no 1
#Tallinn 2
#minegnakanal 1
#LiGHTNiNG 1
#tjukkbanan 1
#multilink 1
#girlsgofast 1
#r¯ygestuÂ 1
#server-park 1
#torncity 1
#wv 1
#ebrpg3 2
#ebrpg5 2
#ebrpg7 2
#ebrpg9 2
#alienarena2007 1 happy boxing day :D
#exelenz 1
#7Even 1
#shellet 1
#om 1
#rootsandculture 1
#BOTFRIEND 1
#Counter-Strike 2
#test.se 2
#metest 1 ∏.∑¥Ø`∑.∏∏.∑¥Ø`∑.∏.∑>Me Test!<∑.∏.∑¥Ø`∑.∏∏.∑¥Ø`∑.∏
#iS0T0NiC.spam 1
#rally 1
#norbits.sa-mp 1
#norbits.FM 1
#OSEC 1
#sonicwall 1
#sm≤.crew 1
#SM≤ 1
#rammstein 1
#ISOXDCC 1
#myispsucksass 1
#hw.joy 1
#yayarea 1
#fm4 1
#UNL 1
#lj¯reggen 1
#gauloises 1
#punt 1
#SBOX 1
#|O_o| 1
#trainee 1
#audiobrasil 1
#HEB-SUBS 2
#nuttertoolz 4
#yg 1
#Te3 1
#mbg 2
#vatoslocos 1
#borkeby 1
#scrutator 1
#STORAGE 1
#maya3d 1
#mentalbase 1
#neti 1
#UBUNTU.SE 1
#tpb-torrents 1
#bubbles-bless 1
#trelphin 1
#miffo 1
#bufflarna_flyger_i_luften 1
#upunet-s 1
#partynett.com 1
#fumbbl 1
#bucradio 1
#buchat 1
#poker* 1
#7500drifting 1
#V‰cka.Sovsalen 1
#warez-clan 1
#ftp4warezdumps 1
#thedont 1
#kanalokopin 1
#propiracy 1
#asd 1
#pokerdude 1 ..merry xmas to you all..
#clanmatch 1
#v‰xjˆ 1
#jdg89a 1
#oshells 1
#planete-gba 2
#darkness 1
#ice-fxp 1
#testingmybot 1
#limit 5 10Welcome to #limit - your home for Limit Holdem | Invite your noob limit friends
#contact 1
#manics 1
#agoctrl 1
#skuv 2
#P@CM@N 1
#vice 1
#juujuu 1
#ChatWebDev 4
#just.do.it 1
#bloodfeather 1
#moderntalking 2
#Lichentia 1 Lichentia General Chat
#bushtarion 1
#birdy 1
#arcada-it 1
#gpx2 1
#ngcdev 1
#calisse 1
#Itan1um 1
#BotZob 1
#dlt 1
#zozo 2
#Bibox 1
#damsleth 1
#zumer 1
#cpselite 2
#leech-it 3
#la_terre_du_milieu 1
#dcftpz-fr 1
#xbmcwiki-dev 2
#acoustic 1
#Sunde 1
#Kaldestad 1
#Husnes 1
#t@sty 2
#Delta-Goodrem 1
#interracial-porn 1
#cocktail 1
#ÂlgÂrd-gatebilklubb 2
#drunkclub 1
#acorn 1
#carib 1
#AlienHead 2
#SURX3 1
#packet-storm 1
#kochi 1
#Ajaxtech 1
#alt.binaries.x 1
#freakcity 1
#flashback.info 2
#dingensbla 1
#LoLSpam 1
#emuchina 1
#herzberg! 1
#psxcare-fyllsnack 1
#evo-x-support 1
#f14 1
#wwwcovers 1
#rectum 1
#psy-xxx 1
#xboxmoddarna 2
#mame-roms 2
#ps2-world 2
#messiah-sweden 2
#swe-xbox 2
#sWEDIZpSYChOs 1
#playstation2.no 2
#origachip 2
#Test_for_undertexter 1
#barco 1
#swe-playstation 2
#regionfree 3
#UT-frÂgesport 1
#ps2.nu 2
#demesnsa 1
#hellhole 2
#spr1ngfield 4
#polishtracker 1
#nyheterna 1
#logicalcube 1
#apa 1
#wow.Eonar 1
#bajen 2
#bizstartup 1
#bowl-spam 2
#oldscene 3
#sluta.whoisa.mig.tramsbarn 1
#AREA 1
#wds.support 1
#4.verdenskrig 1
#3.verdenskrig 1
#judo.no 1
#diskusjon.no 1
#wisp.info 1
#wisp 1
#rainbow 1
#asl 1
#nff.latestfab 1
#poskota 1
#nff.bzflag 2
#-Midgaard- 1
#axxezheroes 1
#tku10 2
#cafeclub 2
#kesepian 2
#ayulina 3
#bimmers.no 1
#buenosaires 1
#Claycounty 1
#Faroesechat 1
#Greenland 1
#quiz.onlinebandit.net 1
#hjelpRPG 1
#preeing 3
#hieksi 3
#PICNIC 2
#pinkdots 2
#drugstore-staff 1
#czsg 1 Dead channel.
#leakirc 1
#3rdhand.info 1
#p.r.e.u.s 1
#eztv-spin 1
#GyNa 4 ...eNJOy uR C8 HeRE,LoVE U OL...
#chat-it-up 3
#clubmusic.in 1
#lief 1
#punzi. 1
#drawgz 1
#svartis 1
#Q4U-team 1
#DevilStation 3
#pungrÂtta.nu 2
#maje 2
#insertcoin 1
#TerribleEcho 1
#unixhackers 1
#indochat 1
#kultur.se 1
#spyglass 1
#hdv 1
#tanow 2
#f-sharp 2
#RVPPCS 1
#surboard_hacker 1
#dalongiSIN 1
#silvergun-iso 1
#horrormovies 1
#quiz-norge 2
#MzCsHouse 1
#rebeef 1
#fuck-the-holidays 1
#retrodev 1
#coduo.wars 1
#cod.wars 1
#callofduty.ee 1
#da_shootaz 2
#francewarez 1
#xvidsubs-AA 1
#george 1
#gen0cide 1
#TCMD 1 TCMD Chat - Friends of the best file manager Total Commander
#pokerops 1
#holecam 1
#privreg 1
#phoggyadsllog 1
#puppy 1
#zeus 2
#Frontend 1
#setskog 1
#vonage 2
#thedungeon 2 ][Welcome Home, Dungeon Dwellers][
#darts 2
#rugbyunion 3
#bloodfury 2
#ecommerce 1
#daytrading 1
#x@no 1
#openserver 1
#domain 1
#NokiaN91 1
#IRC-Programmers 1
#ILuvSES 1
#BabyVOX 2
#patrio 1
#kinchsux 2
#onlineRPG 1
#PoetsHaven 2
#scram 2
#dphq 2
#KAXOBKA 3
#VIKTORINA 6
#craptest 1
#BiGFooT 1 DO u have BiG FeeT ??? or have u seen a someone with BiG FeeT ???
#PinGPonG 1
#eXtremely 1
#Zeta_2_Reticulum 1
#the-pit 1
#theditchpigs 2
#p~#mtc-pre 1
#localh 2
#gaypunk 3
#pf-join 3
#jimmyjohnson 1
#togganet 1
#meddler 1
#blackbird 1
#ufos 2
#circuits 1
#cannabisnews 1
#111111 1
#audioiso 1
#XDCC-TEST 1
#Digital-Bandits 1
#trutas 1
#wowstormrage 1
#axien 2
#GAME-RELATED 2
#evoxtrainers 1
#TPMp3s 1
#Radio-TPM 1
#Icestore 2
#[New_Mexico] 1
#acc-crew 1
#auz2 1
#kel4life 1
#abv 1
#carnique 1
#ISOLLUSION 1
#HiNDUZ 1
#TimeStamp 1 Wednesday December 27 2006 04:43 UTC
#whatthefuck 1
#addpre# 1
#valcea 1
#NeoDreamFactory 1
#console.arena 1
#consolearena 1
#rolex 1
#g33khaus 1
#pwnt 1
#sermon 1
#allsang 1
#globelan.game 1
#Fata 2
#spatch 1
#gp2xde 1
#dfsdevine 1
#con-mania 1
#koze 1
#yoshi's-egg 1
#SHOTTA-VIBES 1
#SHOTTA 1
#fog 2
#silence 1
#ozunreal 1
#scan 1
#irate 2 Im back
#gaytest 1 New Orleans kicked from #Louisiana (excess flood)
#gaybicycles 1 Let's go riding
#GayNearly50 1
#Gay40something 1
#Screebot 3
#xgpdev 1
#fkzstaff 2
#postfalls 1
#headstash 1
#NAT3-XDCC 2
#girlystuff 1
#silviansw 1
#CLUB-90 1
##makaveli 2
#beaf 1
#haskell 1
#machinelearning 1
#s3nsati0ns 1
#focuson 1
#BTU4 1
#the-chaos-show 1
#codes 2
#mr_coffee 3
#hyq 1
#PhXMovies 2
#psyki 1
#lawschool 1
#greenhouse 1
#_hiddenchat 1
#CCD|Central 1
#ohim 1
#harksux 1 See topic.
#sin 1
#composers 1
#gayminnesota 1
#gaming-forums.net 1
#NOW-KARAOKE 1
#nobi 1
#NTG 2
#slit_cyc66_throat 1
#i_hate_cyc66 1
#kill_&_slaughter_cyc66 1
#tormented-videos 1
#delphi.se 1
#gentlemen 3 give three-piece a chance
#just-friends 1
#skaters 1
#BOTLEGAL 1
#shitpiss 1
#pL-crew 1
#xxxpassporn 1
#Marie 1
#fuckchristmas 1
#skydiving 1
#swisha 2 HaHaHaHaHaHaHaHahaaaaaaaaaaaaaaaa!!!
#dvdr.nl 1
#ps2house 1
#lysergic.acid.diethylamide 1
#psilocin 1
#psilocybin 1
#OS 1
#dependent 1
#dassiat 1
#godtfolk 2
#wiibrew 1
#kumoricon 1
#put.as 1
#S0l4r1s 1
#aufdemhellenweyer 2
#arbyss 1
#ostoreserver 1
#computerfriends 2
#miserable 1
#brom 1
#BritPop 1
#Dazed&Confused 1
#workout 1
#mythology 1
#hinduism 1
#dupe-rcrack 1
#pdlmg 3
#ydk 1
#warez-c@pitol 1
#hax 1
#FagFun 1
#dfsjk 1
#robo 1
#gay_vancouver 1
#gay_pride 1
#CookieMonster 1 Cookie! http://www.megaupload.com/?d=SB5X0UB9 just a little vid i made awhile ago
#landau 1
#Ghair-Alnass 1 well i gave you another chance and what did you do? threw it back in my fucken face so fuck you too
#traktor 1
#judenrein 1
#k-w 1
#wwfmotala 1 Lindsay Lohan ‰ger
#screwloosechange 1
#xboxtsop 1
#cjcode 1
#dsdev.nl 1
#PoMoFo 1
#privcd 1
#sleber 1
#MITCH-HQ 6
#3DF 1
#smfk 1
#youngspirit 1
#dassiat_ 1
#GOODmusic 2
#spillutstyr 1
#ps1.no 1
#ps.no 1
#playstation.no 1
#burger 1
#camilla 1
#REIKI 1
#skolen 1
#botinfo 1
#russen05 1
#russen2005 1
#russ2005 1
#doggtown 1
#unitingsouls 1
#babyfurs 1
#nodelete 1
#ratznest 2
#Adduser 1
#diham 1
#elgi 1
#mosilor 1
#igp 1
#bubui 1
#NewWave 1 www.FlashbackAlternatives.com
#jossystem 1
#pause 1
#Failed 1
#chezrikoe 1
#o6h 1
#kolmoissurma 1
#CETUS 1
#..... 1
#Cumshot 1
#AANL 1
#iis 1
#svom 2
#shakira_online 2
#nubkidz 1
#uMushroom 1
#raa 1
#solsystems 1
#sixtek 1
#kansas 2
#bunghole 1 My idle chan
#ira 2
#data.bot 1
#tiro_de_gracia 1
#horadeluis 1
#debian-hottub 2
#holocaustplaybackfestival 1
#Amon.iNFO 3
#sponger 1
#tg.nix 4 God jul og soff godtinÂr
#White&Black 1
#Black&White 1
#ronindojo 3 boom.
#webou 1
#radio-buffy 1
#haemoglobin 1
#ac_new 2
#wip 1
#mkz 1
#iring 1
#ICBM 1
#cola.no 1
#yogapod 1
#Andyscam 1
#brick 1
#spitfusion 2
#symbilogic 1
#meth 2
#backinthedays 1
#dexter.la 1
#sexnfun 1
#grumpy_old_men 1
#satanism 1
#≤d(¨_¨)b≤ 1
#mp3depot 2
#PNO 1
#swecube 1
#prayerwarriors 2
#wergelandsgt12 2
#ams 1
#beleftp 1
#mutantbunny 1
#gamedesign 1
#dreamofparadise 1
#ATN2 1
#ATN3 1
#[tlf] 1
#stav 1
#bla 1
#h0h0 2
#pokers 1
#ben 2
#gumby619 1
#hotspot 1
#ganjadoodle 2
#zeitzalui 1
#kady 1
#doagrid 1
#timeout.crew 5 CRUUUU
#karn 1
#vallset 1
#l¯ten 1
#de_uten_liv 1
#trappa 1 winME Roooo00000000llllZ| God jul
#fungusland 1
#tu.si.eu 1
#road.closed 1
#methadone 2
#whitecap 1
#csschallenge 1
#giants 1
#utopia-planitia 1
#kitwatch 1
#newest-iso 1
#OPTI-DCC3 1
#ac97test 1
#univers@l 1
#kolo 1
#cebu 1
#philippines 1
#ô 1
#amador 1
#lan2000 1
#dont.whois.me.you.nosey.bitch.you 3
#stronde 2
#s¯rreisa 2
#bfpbursdag 3
#the.hive 1
#xored 2
#stockandpump 1
#saltnes 1
#kthxbye 1
#revolt 1 http://homes.longandfoster.com/Real-Estate/PropertyDetails.aspx?MlsCompanyID=2&MlsNumber=BE6260100
#dd0 1
#timeout 7 Full fart i Hellvikshallen! :-)
#muddev 1 Caedyan Pazny Bitch of the North, Ice PrincESS
#g3evolution 1
#srk_kaillera 1
#team.aylar 1
#-lived 1
#enil 1
#cover 1
#home-improvement 2
#SicEmFriday 1
#DirtySanchez 1
#Steve-O 1
#SundayStew 1
#TeamSanchez 1
#Wildboyz 2
#ketaset[1] 1
#politbyr√•n 1
#wunderbar 1
#tnl 1
#snappas 1
#nd80games 1
#nd80 1
#hydro 1
#hogclan 1
#gotnext 1
#good 1
#vgaplanets2 1
#vgap2 1
#drive-info 2 http://piipiip.net/uutimet/rss/?show=kaleva,helsinginsanomat,mtv3
#jethrotull 1
#royalvendetta 1
#ephedrine 1
#borgenhaugen 1
#script-test 1
#purple-ftp 1
#Costica 2
#sve-txt 1
#majority 1
#ytmndradio 1
#TheORLYFactor 1
#[sc] 2
#ampspam 1
#0xDEADBABE 1
#martin-aronsen 1
#zeroart 1
#labern 1
#shakty 1
#drgott 1
#oldboys 1
#DanishFreedomFighters 1
#nerdradio 4
#autoprime 1
#tosec 1
#homlalan 1
#infunk 1
#NoHackHere 1
#h4m-net 1
#bugaga 1
#axf-airsoft 3
#Qwix360 1
#electronicavenue 1
#bemvindo 1
#elite's 1
#kosekose 1
#anders-klubben 1
#bustien 1
#taper 1
#UnixCrew 13
#kirsh 2
#isfit 1
#mfppl 2
#ngever 1
#EM3CH 1
#ircG 21 register first: /msg ircg !register Pass E@mail || login: /msg ircg !login pass || need money? 1$(PP) = 100000$(in game)
#\grindcore 1
#id&t 3
#l¯rdag 3
#onsdag 3
#s¯ndag 3
#torsdag 3
#tur-click 3
#fredag 3
#DutchMackConnection 2
#trakkafellaz 1
#KJKDJFB 1
#gobble 1
#TigerDen 1
#tunez 2
#PureNoise 1
#fick.dich&hoer.auf.zu./whois'en 1
#legourmet 1
#ard 2
#XDCC-SERV 1
#ikt-stord 2
#NorthStar 2
#biznitches 1
#Worldshellz 1 www.worldshellz.net - Internet hosting solutions. Servers / NOC.* and ECHO.* 2(UP) -4 http://bgtech.us/shells/x.no
#llamas 1
#CRAZYDRUNKS 1
#SVCD.se 1
#BASE2091 1
#XFiLEZ 1
#MP3.nl 1
#SVCDhq 1
#CyberWOOD 1
#EVO-SERVERS 2
#jodo 2
#COPENHAGEN_DK 1
#SECRET_SOC13TY 1
#DESILOUNGE 1
#BHARAT 1
#JAMMU 1
#KASHMIR 1
#cashier 1
#mtgoracle 1
#wesh 1
#matss 1 NU DU
#tipton 1
#Gankedukrew 1
#Norskwebforum 1
#nwf.info 1
#clink.un 7
#clink.io 7
#vjn 1
#24_hour_party_people 1
#mathew2 1
#timeout.styre 1
#s810 2
#easyIO 1
#makbot 1
#is_it_the_water? 1
#pyr 1
#2moons 1
#Mornings 1
#BotLodge 3
#dc503 1
#myvps 1
#mats 1
#mangainc 1
#AZNV 1
#isogames 1
#minc 1
#Outra_Vez 1
#me_jode_que_mires_mi_idle 1
#LCo 1
#idle_FIM 1
#incidencias_internet 1
#showie 2
#ntk 1
#pmoi 1
#indiemusic 3
#kyva 1
#alexxi 8 12,1|!§*'~``~'*§!| 4,1 Welcome To Alexxi<<>>Trust Ur Love Here<<>>Enjoy UrSelf & Happy Alwiz13,1 |!§*'~``~'*§!|
#con.fi.den.ti.al 1
#plc2k 1
#[lelulaatikko] 1
#torontobluejays 1
#georgetown 1
#Dumbz 1
#kwanzaa 1 p00ping for kwanzaa
#ps2nomod 2
#icewind 2
#N4sty 1
#lodrion 1
#psp-fr 1
#lamer 2
#ebayblogg 2  http://anfauctions.com/foot.htm
#DWI-MP3 1
#tux-hell 1
#svenskagillet 1
#nutfondlers 1
#psybient 1
#jamesbrown 6 http://www.oddpic.com/showphoto.php/photo/2418/cat/520 - RIP James Brown
#wasupp 1
#deafdude 1
#sous_la_mer 1
#twelvegates 1
#pleiadians 1
#insite 1
#pullo 1
#0DONT-10WHOIS-8ME-4BIATCH 1
#bushido_admin 1
#orlysecks 1
#havoklolzbeep 1
#irc.efnet.co.il 1
#cable.il 1
#GRiMMY†-†Don't†Whois†Me 1
#teammcc 1
#acidocean 1
#ffds 1
#juzzy 1
#marlin 1
#utlandet.se 1
#bahai 1
#its-christmas-u-homos-stop-preing-for-once 1
#testttt 1
#SPND 1
#U-Cluj 3
#TJnet 1
#TJ 1
#newgenstuff 1
#rÈseau 1 www.nb18plus.com
#ORP 1
#RPGWorld 1 1,111We have moved to Rizon networks. 10(11 irc://irc.rizon.net/RPGWorld 10)
#shuttle 1
#MasturbationPage 3
#chatfree 1
#bl4cks 1
#qms 1
#vs-system 2 Merry X-Mas ! Dr. Light banned ! MC 10.2.07 Essen (47 days)
#tgz 1
#4488 1
#kosete 1
#shell-trade.ipv6 1
#DeafPower 1
#FRESHMP3S 1
#stayhigh 2 its over, 2007? // http://nyctmc.org/xmanhattan.asp# // http://www.alluc.org/
#m4a-servers 2
#baltimora 1
#newsnfo 2
#REVISITED 1
#irpgers 1
#2ª000 1
#deathmetal.no 1
#deathmetal 1
#pepperland 1
#olemiss 2
#4youreyesonly 1
#oversight 1
#NukuNuku 2
#brennevin 2
#jauV 1
#ankkara 5
#mdietemann 1
#dietemann 1
#spadaz 1
#nocastor 1
#dyloum-private 2
#hacknet 2 http://www.baston.ru/yak.swf
#TTE 1
#reebok 1
#buftea 1
#ShellRo 1
#cavemanorastronaut 1
#night-shift 1
#tjoho 1
#lalaldsf 1
#cykelpunk 1
#marklarø 1
#dtf 1
#karsk 1
#wootoff-2 1
#4pleasure 1
#hakunamatata 1
#turha-dev 1
#hbot 1
#idf 1
#technoboard 1
#Isralite 1
#http 1
#leechan 1
#Fr¯ya 2
#ih 1
#board-unity 1
#¸bern00bz 1
#testout 1
#kaki 4 LEAVE MY CHANNEL !
#depressionsupport 1 support and chat
#Stefana 1
#ntpn 2 Puff, pass it on and merry xmas
#d3x03d 1
#CCnOrG 2
#1.6.priv 1
#1.6 1
#powersnakk 1
#k0k4in 3 0...wElcome...≤... UZI/PRE.... - 0Status:9 CLOSE 0 BOT: 9OFFLINE
#nsw 2
#fdgv 1
#gaysupport 1
#vulcan-svcd 1
#Xbox-Lounge 2
#FunShoppe 1
#kangaroopocket 2
#paniker 1
#testeur 1
#FMNET 1
#RRROP 1
#ttoomm 1
#dotapickup.euro 1
#dotapickup.ap 1
#dotacw.euro 1
#dota.no 1
#JAWN 1
#10.Pin.Alley 1
#Gutterball 1
#nettsex 2
#wtfdumbass 2
#kaybay 2
#freeop 1 Free op for everyone!
#lydtrykk.no 3
#TC-WoW 1
#taskforce.no 1
#ianlap 2
#-equinoxteam- 1
#B(.)(.)Bs 1
#Ârnes 1 ≈rnes, Nes, Akershus etc
#wout 1
#KERNELXDCC 2
#cf-fxp 1
#cf 1
#fxponline 1
#COMANDO-VERMELHO 1
#racionais 1
#offset 1
#Shareware 1 Share advice, tips, and evaluation information about PC shareware - Come build the new channel population
#Esperantujo 1 Come, lurk, build the population. Chat in Esperanto, or learn about the International Language. All welcome.
#Calumet 1 Diagona//y parked in a para||el universe
#eatmyshorts 1
#adminpr0n 1
#hosting.upgear-designs 1
#tosecdev 1
#cdromantics 1
#evo.no 1
#pp.dalarna 1
#sweet-sideways 3
#doityourself 1
#STRAYALAND 1
#iste 1
#detective 1
#anti-establishment 1
#r3d 1
#frogner 1
#prova 1
#Paff 1
#tororo 1
#huseby 1
#$BF|K\8l$G%=%U%H3+H/(B 1
#cornwall 2
#subshock 1
#boydem 2
#sosgroup 1
#vbbbn 1
#xbox-360-live 1
#base64 1
#sdfkeggg 1
#chrissaw 1
#DNBFlac 1
#m0m0 1
#jah_the_ruler 1
#psychopathic 1
#hostamazing 1
#intel64 1
#xtm 2
#speedracers 1
#lbc 1
#antiviperin 1
#ccinfo 1
#driver 1
#URSIII 7
#ciuc 2
#tripletwo 2
#Catalin&Elena 1
#fcu 4
#shokotanmustdie 1
#wehatewaltz 1
#ga-movies 1
#rÂkanal 1
#zDioz 2
#PK_Pruba 1 hohoho merry X mas <- boli no nie...
#beefcake 1
#!kukido 1
#nophi 1
#fffpre 1
#teamneg 1
#srprivate 1
#lobsterboy 4
#suiciderun 1
#Jigsaw 1
#jiggy 1
#initiald 3
#blaster360 1
#scene51 1
#tnl-announce 1
#tnl-german 1
#exploration 5 Merry Christmas everyone!
#snesromz 1
#nmb 1
#prowrestling 1
#G*P 1
#tamerelsus 2
#box.ae-distro 1
#ps3traders 2 First IRC channel Dedicated to PS3 Trading. No Leechers. From the creator of #PS2Traders
#CorporatizedUnitedStatesOfAmerica 1 9,1‡πë€©€û€©‡πë
#hula 1
#oovot 1 roelo roelo
#nintendofanclub 1
#the^oracle 1
#hakkerz 3
#!devnull 1
#doom3iso 1
#overcrowded 1
#freemp3s 2
#rozenmaiden 3 OUVERTURE OVA IS SUBBED GET IT NOW http://animesuki.com/series.php/932.html
#ravetrash 1
#.idm 2
#nuskool 1
#morels 3
#cholojo 1
#enginuity 2
#psychics 1
#28:06:42:12 1
#gijoe 1
#itkoncept 1
#andru 2
#linuix 1
#ucsd 1
#4r7a8i3n11b12o6w 1
#PrussianBlue 2
#samy 2
#fiction 1
#^2gcrew^ 2
#celtic 1
#Supertorrents 2
#SecondChanceBirdRescue 1
#kribbit.com 1
#lov.nz 1 this is caled a toc, and here you can find all sort of inportant information.....
#dsnt 2 http://dsnt.sytes.net the only place where tv-shows are for everyone :)))
#eject 3
#Project86 1
#SonnyChiba 1
#iscisonirc 1
#lostradio 1
#insert-coin 2
#techtv 1
#icons_of_elite 1
#thefiringrange 1
#dragoons 1 -=-Dragoons-=- Your online guardians, Have a hero complex, want to help those who are stalked, threatened or worse? Appl
#Celts 1
#test.pre 1
#hitlerhitlergo 1
#EKATEPuH6ypr 1
#away234 1
#pope! 1
#efx2 2
#psxfanatics 1
#psxemu 1
#bleemcast 1
#bleem 1
#GOTAKICK? 1
#vwap 2
#xV 1
#muimuibox 1
#WildRescue 1
#SkyHouse 1
#ScoutHouse 1
#chikinsex 1
#gayhypnoslaves 3
#gaychastity 2
#Skunny 3
#funline 1
#unite 1 avi? miss u
#refuselife 1
#die.geile.lotte.webcam 1
#hexadecimal 1
#eggchan 2
#tala 1
#www.linux.ro 2
#floppy 1
#rohelp 2
#hagi 2
#epass 1
#hermetic 1
#bidochon 2
#megahal 1
#GayDivers 1
#playyertune 1
#hi! 1
#yourmp3s 1
#playyertunes 1
#projectmidnight 1
#audioslave 1
#gnutella/cache 1
#wecoolpeople 1
#Configure 7
#xbj 1
#blurred 1
#ILoveHorses 1
#jam 1
#wineveryhour 1
#humblefxp 2
#trackmeasure 1
#Fettnerd 1
#2b 3
#SORIBADA 2
#ssaass1 1
#wub 1
#howardshrine 6 www.howardshrine.net - <dsf> shoke on a cock and die
#SYNESTHESIA 1
#poka 1
#the_pub 3
#sunndals¯ra 2
#kickinchicken 1
#nodrama 1
